SIZE,AVERAGE,BEST,WORST
640,4765,5203,4299
452,3122,3431,2811
83,377,428,321
915,7241,7880,6617
61,250,280,216
645,4803,5258,4358
666,5024,5459,4508
571,4190,4528,3735
54,206,243,180
230,1379,1521,1222
913,7267,7858,6632
873,6932,7454,6266
926,7363,7989,6730
599,4377,4806,3975
348,2312,2529,2037
165,926,1020,800
557,4036,4398,3644
869,6845,7430,6262
833,6551,7082,5928
146,781,871,674
587,4277,4688,3885
877,6907,7510,6366
914,7287,7871,6610
234,1406,1551,1242
136,710,795,629
504,3565,3885,3205
221,1332,1452,1158
263,1630,1782,1437
137,705,800,622
302,1938,2125,1712
893,7127,7668,6514
141,751,832,650
678,5116,5583,4602
496,3525,3815,3155
65,266,308,234
20,51,61,43
420,2890,3159,2581
746,5744,6239,5176
529,3754,4124,3398
178,1002,1119,874
617,4586,4964,4114
804,6253,6801,5657
506,3611,3907,3246
323,2102,2306,1853
386,2580,2853,2306
394,2667,2925,2378
43,154,180,137
361,2397,2634,2128
98,463,531,402
105,522,570,444
479,3366,3676,3039
372,2513,2735,2231
647,4852,5274,4357
776,6053,6513,5405
167,930,1034,805
385,2597,2840,2296
925,7374,7982,6784
149,794,894,696
297,1896,2072,1662
181,1008,1142,900
436,2996,3293,2681
446,3090,3385,2806
757,5785,6340,5330
796,6183,6729,5599
6,6,9,4
779,6009,6562,5447
278,1716,1913,1546
375,2511,2764,2243
164,909,1011,791
467,3272,3568,2933
152,829,913,721
507,3618,3920,3229
514,3639,3979,3300
417,2835,3118,2550
874,6891,7475,6256
185,1068,1168,926
430,2990,3245,2688
633,4730,5118,4256
328,2150,2339,1903
736,5638,6135,5087
286,1804,1981,1606
134,700,779,604
821,6435,6968,5842
241,1454,1602,1286
127,646,726,563
497,3531,3824,3154
826,6468,7009,5848
303,1950,2134,1733
495,3512,3810,3143
835,6575,7098,5935
600,4400,4805,3973
931,7447,8034,6757
588,4319,4695,3887
739,5670,6166,5115
326,2120,2337,1900
743,5749,6208,5167
539,3902,4224,3493
701,5324,5800,4848
47,170,202,143
338,2193,2443,1970
825,6483,6986,5862
667,5018,5464,4531
402,2709,2997,2440
250,1530,1679,1342
179,994,1126,887
277,1727,1904,1532
525,3745,4086,3380
223,1324,1468,1177
715,5490,5934,4917
674,5096,5539,4576
861,6800,7358,6212
395,2686,2934,2369
498,3523,3839,3164
517,3673,4010,3326
865,6811,7392,6244
36,118,137,101
408,2787,3047,2489
419,2869,3142,2557
956,7670,8279,6993
231,1370,1530,1231
817,6380,6922,5802
538,3827,4211,3478
718,5482,5963,4964
192,1091,1221,967
781,6051,6574,5522
484,3429,3717,3065
692,5257,5709,4723
354,2363,2579,2096
502,3560,3875,3216
643,4795,5234,4335
940,7524,8121,6853
515,3681,3990,3303
219,1292,1436,1157
742,5688,6205,5158
363,2397,2660,2143
187,1057,1188,943
360,2390,2621,2131
151,804,910,711
977,7869,8484,7170
